track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
6iDPyIIOs8jyCMfV4YkJ3E,Forever's Not Enough,6aiCKnIN68hohzU3ZzNq48,Sarah Geronimo,4F9XJFPulgmxc2TP6M1n0v,262840,2004-05-13,0,0.566,0.26,2,-10.454,1,0.0396,0.225,0.0,0.0915,0.113,143.111,6iDPyIIOs8jyCMfV4YkJ3E,6iDPyIIOs8jyCMfV4YkJ3E
6ntApG3kkPBTU5w4JoOQl4,Simpleng Tao,7HJDRQAfEcFiARVehhM6qD,Gloc 9,3reglY59T7IWZ4qLe0yXiK,242364,2010-10-06,0,0.749,0.676,1,-6.19,1,0.0428,0.171,0.0162,0.0525,0.962,88.0,6ntApG3kkPBTU5w4JoOQl4,6ntApG3kkPBTU5w4JoOQl4
2BOmPbeNqJFRNi0TOt4GQ9,Because Of You,0RHiqaoRCsFLPeEuj3OQz4,Gary Valenciano,0pCv1rSU5yHaYvSbXUGABQ,262847,2011-07-27,0,0.274,0.362,0,-8.387,1,0.0289,0.658,0.0,0.151,0.108,102.862,2BOmPbeNqJFRNi0TOt4GQ9,2BOmPbeNqJFRNi0TOt4GQ9
084R2Cn2ExOXNnHlpX1TxW,Pagbigyang Muli - original,7ygtjsCTrCQZAYYPOne9uE,Erik Santos,37Cooo3Yv2NYhV8PpjPGhp,295173,2005-08-16,0,0.619,0.384,4,-7.615,1,0.0289,0.516,0.0,0.116,0.132,118.1,084R2Cn2ExOXNnHlpX1TxW,084R2Cn2ExOXNnHlpX1TxW
4n8vZVyw7Z90tLoV3Nvn4C,Ikaw,0DnjaQqb436AH1idffI6CQ,Yeng Constantino,6Mm6w4hG8pDXK9O0ZWm95f,284920,2014-10-30,0,0.654,0.336,10,-7.21,1,0.0307,0.575,0.0,0.0784,0.105,120.027,4n8vZVyw7Z90tLoV3Nvn4C,4n8vZVyw7Z90tLoV3Nvn4C
2p2jbs9TdcfGgt4IqUgf39,Closer You And I,2GqX0GnrKdi6Z2X2OReYOK,Piolo Pascual,3lpmZCJs6v3AU67xYjaxiT,237760,2006-11-15,0,0.644,0.41,0,-11.126,1,0.0307,0.391,1.01e-06,0.0982,0.556,93.022,2p2jbs9TdcfGgt4IqUgf39,2p2jbs9TdcfGgt4IqUgf39
3nv5G2PKsumjbsVKoyp0uy,The Closer I Get to You,5elcNQkZ6FCZA3grSOMngY,MYMP,6bfrwiC19nEjAwGN98un6f,240013,2005-03-10,36,0.745,0.327,2,-9.386,1,0.0522,0.244,3.97e-06,0.148,0.382,119.678,3nv5G2PKsumjbsVKoyp0uy,3nv5G2PKsumjbsVKoyp0uy
6KpTrV9kBr4b7RNsIGCbcI,Beautiful in My Eyes,4U78sK2D3zASSB6oSR38GQ,Christian Bautista,4O7BomMyTavT2TN1Yi3ITF,253160,2007-08-23,28,0.472,0.355,3,-12.266,1,0.0322,0.51,7.12e-05,0.428,0.186,71.524,6KpTrV9kBr4b7RNsIGCbcI,6KpTrV9kBr4b7RNsIGCbcI
66s45uMhk7Y4z0xUgESdm3,Unwell - 2007 Remaster,3Ngh2zDBRPEriyxQDAMKd1,Matchbox Twenty,07cWSvrkFTgaQGYh7M1cCt,237266,2007-09-29,64,0.442,0.793,9,-5.152,1,0.0347,0.0456,0.0,0.328,0.437,80.985,66s45uMhk7Y4z0xUgESdm3,66s45uMhk7Y4z0xUgESdm3
5kKTPgdzQrTwKp6g6HsLoY,Ikaw Ang Iibigin Ko,7hSKFrTyIXR4Abd14BQVTC,Jos Garcia,1Rftf2b60nTdPMYcecLDXh,290480,2012-04-30,0,0.47,0.549,1,-7.356,1,0.0264,0.237,0.00254,0.135,0.482,163.894,5kKTPgdzQrTwKp6g6HsLoY,5kKTPgdzQrTwKp6g6HsLoY
6iUxAvgO4u31UHIQ8zeet2,Gayuma,5mNum7eUoqWS6NBo91NYHP,Abra,4Pz8kSuNnVrUbZheowq81B,284000,2013-12-01,0,0.777,0.808,10,-5.51,0,0.0799,0.171,0.0,0.16,0.812,93.008,6iUxAvgO4u31UHIQ8zeet2,6iUxAvgO4u31UHIQ8zeet2
5wkhSvut2EgxM0J5HQ8q8C,Cool-Off,0DnjaQqb436AH1idffI6CQ,Yeng Constantino,5y6PV6SjN9yEDq5hwgb1LF,307320,2007-01-19,0,0.562,0.547,11,-8.023,1,0.0285,0.25,2.38e-05,0.106,0.253,84.05,5wkhSvut2EgxM0J5HQ8q8C,5wkhSvut2EgxM0J5HQ8q8C
3ZffCQKLFLUvYM59XKLbVm,Wake Me up When September Ends,7oPftvlwr6VrsViSDV7fJY,Green Day,5dN7F9DV0Qg1XRdIgW8rke,285653,2004-09-21,76,0.546,0.814,7,-5.146,1,0.0314,0.023,0.0,0.0972,0.146,104.98,3ZffCQKLFLUvYM59XKLbVm,3ZffCQKLFLUvYM59XKLbVm
