track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id_x,playlist_name_x,playlist_id_y,playlist_name_y,duration_mins,genre
2ZTYlnhhV1UAReg7wIGolx,To Die For,2wY79sveU1sp5g7SokKOiI,Sam Smith,2motAeq8jZvHkF4VpbWSHf,193795,2020-02-14,73,0.483,0.361,0,-7.889,1,0.0738,0.832,4.66e-06,0.098,0.307,171.649,2ZTYlnhhV1UAReg7wIGolx,2ZTYlnhhV1UAReg7wIGolx,3WvcD9vDDwe2KNBAWEJV95,Post-teen pop,3.2299166666666665,post-teen pop
7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),6bmlMHgSheBauioMgKv2tn,Powfu,2p9gK2BcdrloHNJwarc9gc,173333,2020-02-08,87,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,7eJMfftS33KTjuF7lTsMCx,7eJMfftS33KTjuF7lTsMCx,3WvcD9vDDwe2KNBAWEJV95,Post-teen pop,2.8888833333333332,post-teen pop
7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),6bmlMHgSheBauioMgKv2tn,Powfu,2p9gK2BcdrloHNJwarc9gc,173333,2020-02-08,87,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,7eJMfftS33KTjuF7lTsMCx,7eJMfftS33KTjuF7lTsMCx,74962idCjiGug4VcWVU4E8,Post-teen pop,2.8888833333333332,post-teen pop
60iSKGrGazRzICtMjADNSM,Hold Me While You Wait,4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,5658aM19fA3JVwTK6eQX70,205686,2019-05-17,80,0.688,0.53,11,-5.507,1,0.0333,0.443,0.0,0.0995,0.162,106.958,60iSKGrGazRzICtMjADNSM,60iSKGrGazRzICtMjADNSM,3WvcD9vDDwe2KNBAWEJV95,Post-teen pop,3.4281,post-teen pop
6bnF93Rx87YqUBLSgjiMU8,Heartless,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,4yP0hdKOZPNshxUOjY0cZj,198266,2020-03-20,79,0.537,0.746,10,-5.507,0,0.15,0.0236,1.01e-06,0.156,0.252,170.062,6bnF93Rx87YqUBLSgjiMU8,6bnF93Rx87YqUBLSgjiMU8,3WvcD9vDDwe2KNBAWEJV95,Post-teen pop,3.3044333333333333,post-teen pop
2p8IUWQDrpjuFltbdgLOag,After Hours,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,4yP0hdKOZPNshxUOjY0cZj,361026,2020-03-20,77,0.664,0.572,5,-6.099,0,0.0305,0.0811,0.00604,0.121,0.143,108.959,2p8IUWQDrpjuFltbdgLOag,2p8IUWQDrpjuFltbdgLOag,3WvcD9vDDwe2KNBAWEJV95,Post-teen pop,6.0171,post-teen pop
24Yi9hE78yPEbZ4kxyoXAI,Roses - Imanbek Remix,0H39MdGGX6dbnnQPt6NQkZ,SAINt JHN,3GqSdhWjmMypMwPLtzoFYs,176840,2019-10-09,86,0.77,0.724,8,-5.484,1,0.0495,0.0167,0.0107,0.353,0.898,121.975,24Yi9hE78yPEbZ4kxyoXAI,24Yi9hE78yPEbZ4kxyoXAI,3WvcD9vDDwe2KNBAWEJV95,Post-teen pop,2.9473333333333334,post-teen pop
0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,246dkjvS1zLTtiykXe5h60,Post Malone,4g1ZRSobMefqF6nelkgibi,157560,2019-09-06,81,0.755,0.522,2,-4.368,1,0.0575,0.533,0.0,0.0685,0.925,89.96,0RiRZpuVRbi7oqRdSMwhQY,0RiRZpuVRbi7oqRdSMwhQY,3WvcD9vDDwe2KNBAWEJV95,Post-teen pop,2.626,post-teen pop
5C1TucCRf4Vjjree1OItyv,One,4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,5658aM19fA3JVwTK6eQX70,179907,2019-05-17,67,0.708,0.339,9,-7.085,1,0.0409,0.834,0.0,0.128,0.512,117.995,5C1TucCRf4Vjjree1OItyv,5C1TucCRf4Vjjree1OItyv,3WvcD9vDDwe2KNBAWEJV95,Post-teen pop,2.99845,post-teen pop
12OLyHDxt6dqlAybSPFBK3,Forever,4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,5658aM19fA3JVwTK6eQX70,210863,2019-05-17,74,0.646,0.355,1,-7.119,1,0.0263,0.873,0.0,0.115,0.364,84.988,12OLyHDxt6dqlAybSPFBK3,12OLyHDxt6dqlAybSPFBK3,3WvcD9vDDwe2KNBAWEJV95,Post-teen pop,3.5143833333333334,post-teen pop
5ELRkzdzz0HvGpMDlfZHkV,Sign of the Times,6KImCVD70vtIoJWnq6nGn3,Harry Styles,6YDkzHVTEzMXZOVd1r5NqR,340706,2017-04-07,72,0.518,0.575,5,-4.616,1,0.0302,0.0259,0.0,0.109,0.209,120.019,5ELRkzdzz0HvGpMDlfZHkV,5ELRkzdzz0HvGpMDlfZHkV,3WvcD9vDDwe2KNBAWEJV95,Post-teen pop,5.678433333333333,post-teen pop
